isFraud,ProductCD,guid,UserID,AccountID,TransactionType,TransactionAmt,TransactionDate,Merchant,Category,Channel,CustomerAge,CustomerOccupation,IncomeBracket,PreferredSpendingCategory,RiskProfile,CreditScore,LoanEligibilityScore,CustomerTenure,MostInterestedProduct,TransactionMonth,AvgMonthlySpend
0,W,cf112202-63b2-416f-90fc-a34f2d02adb1,U001,ACC10000,Debit,29,1/1/2024,MediCare,Healthcare,Physical store,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,2024-01,117.376567
0,W,89ab88e5-51c6-4aa8-b9e6-9512c6fdafdc,U001,ACC10000,Debit,59,1/1/2024,MediCare,Healthcare,Physical store,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,2024-01,117.376567
0,H,7f076b48-0afd-45b1-b865-9f2d8d5d8885,U001,ACC10000,Debit,50,1/1/2024,MediCare,Healthcare,Physical store,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,2024-01,117.376567
0,W,02c35724-4928-4698-8692-f04d120e7205,U001,ACC10000,Debit,49,1/1/2024,MediCare,Healthcare,Physical store,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,2024-01,117.376567
0,H,e82b9b08-85a9-4095-b0ee-dbc6df42bde2,U001,ACC10000,Debit,15,1/1/2024,MediCare,Healthcare,Physical store,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,2024-01,117.376567
0,C,a254e30d-0423-483b-a2ba-ece355baded5,U001,ACC10000,Debit,16.495,1/1/2024,MediCare,Healthcare,Physical store,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,2024-01,117.376567
0,W,49b7e0bb-9042-4f0b-8664-db5afb812f24,U001,ACC10000,Debit,50,1/1/2024,MediCare,Healthcare,Physical store,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,2024-01,117.376567
0,W,c812798a-540b-4c39-9761-3fe6d3bae0d5,U001,ACC10000,Debit,57.95,1/1/2024,MediCare,Healthcare,Physical store,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,2024-01,117.376567
0,H,b90318ff-7e5a-426d-b145-96a7b3045d5b,U001,ACC10000,Debit,30,1/1/2024,MediCare,Healthcare,Physical store,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,2024-01,117.376567
0,W,a1974a80-0744-4f7a-96d0-c4e5ca793e5b,U001,ACC10000,Debit,47.95,1/1/2024,MediCare,Healthcare,Physical store,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,2024-01,117.376567
0,W,e408806e-5593-4970-9c48-b17cf2a13c8f,U001,ACC10000,Debit,186,1/1/2024,MediCare,Healthcare,Physical store,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,2024-01,117.376567
0,W,bad679f5-2eeb-4bb4-9b23-429cb60dd0b0,U001,ACC10000,Debit,39,1/1/2024,MediCare,Healthcare,Physical store,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,2024-01,117.376567
0,W,a2498e55-8805-4d00-a5e7-3945a2c98029,U001,ACC10000,Debit,59,1/4/2024,GeneralStore,Others,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,2024-01,117.376567
0,W,641cc9cb-9cd5-43c5-a400-3c2c0964e7a6,U001,ACC10000,Debit,200,1/4/2024,GeneralStore,Others,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,2024-01,117.376567
0,C,6a34c99d-891f-4a1e-a53b-0aab9bec2753,U001,ACC10000,Debit,48.638,1/4/2024,GeneralStore,Others,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,2024-01,117.376567
0,C,8f37524e-f50b-4d29-86d0-969ccd67f960,U001,ACC10000,Debit,48.638,1/4/2024,GeneralStore,Others,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,2024-01,117.376567
0,C,18829036-7b5b-40c8-9372-7d0135b2d62c,U001,ACC10000,Debit,48.638,1/4/2024,GeneralStore,Others,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,2024-01,117.376567
0,W,465e0a5e-99e4-49eb-af97-14323642e109,U001,ACC10000,Debit,25.95,1/4/2024,GeneralStore,Others,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,2024-01,117.376567
0,C,4f560dc9-1c45-4d70-9de1-180e31281650,U001,ACC10000,Debit,16.857,1/4/2024,GeneralStore,Others,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,2024-01,117.376567
0,W,1b7d9719-418d-46c0-8bc4-652c0ee5e0f7,U001,ACC10000,Debit,160.5,1/4/2024,GeneralStore,Others,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,2024-01,117.376567
0,S,f91323fb-9881-4e69-ad96-aae209e206b4,U001,ACC10000,Credit,30,1/6/2024,Unknown,Unknown,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,2024-01,117.376567
0,W,74715750-2d72-43ba-9d20-b984adab6ec9,U001,ACC10000,Credit,29,1/6/2024,Unknown,Unknown,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,2024-01,117.376567
0,W,204ef1af-ef9d-4e93-9836-282531f38ebc,U001,ACC10000,Credit,159.95,1/6/2024,Unknown,Unknown,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,2024-01,117.376567
0,S,3343d4bc-8924-4d03-b472-4f03d72c840c,U001,ACC10000,Credit,30,1/6/2024,Unknown,Unknown,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,2024-01,117.376567
0,W,8048ea60-bd12-4758-b0a4-37de5620f4d9,U001,ACC10000,Credit,62.95,1/6/2024,Unknown,Unknown,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,2024-01,117.376567
0,C,73da4930-7b96-4fef-9020-7b841c3960a3,U001,ACC10000,Credit,36.252,1/6/2024,Unknown,Unknown,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,2024-01,117.376567
0,W,a5df1e89-93f7-4f7e-a95f-75d54b17b434,U001,ACC10000,Credit,50,1/6/2024,Unknown,Unknown,Online,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,2024-01,117.376567
0,W,6cf3e100-a5a1-4c7f-b845-38f213160584,U001,ACC10000,Credit,38.95,1/9/2024,Unknown,Unknown,Physical store,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,2024-01,117.376567
0,W,e9bc24bf-71d7-48de-8a11-a47bfecbc88d,U001,ACC10000,Credit,100,1/9/2024,Unknown,Unknown,Physical store,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,2024-01,117.376567
0,W,e1291bfb-e7cf-4217-80d3-3fc1afe42a21,U001,ACC10000,Credit,100,1/9/2024,Unknown,Unknown,Physical store,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,2024-01,117.376567
0,W,d0da6328-f06e-4fee-8e9a-5f3ca1695671,U001,ACC10000,Credit,117,1/9/2024,Unknown,Unknown,Physical store,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,2024-01,117.376567
0,W,dbabbd4a-46cc-4951-9b7b-eb99533f9d1f,U001,ACC10000,Credit,1420,1/9/2024,Unknown,Unknown,Physical store,45,Software engineer,150K-200K,Electronics,Low,735,0.85,8,Investment Account,2024-01,117.376567
