account_id,cost_basis,institution_price,institution_price_as_of,institution_price_datetime,institution_value,iso_currency_code,quantity,security_id,unofficial_currency_code,vested_quantity,vested_value,item_id,institution_id
l3DAnzB9P5SrGKzEgLPAHojqvV4Dy5IaLEJEL,1.0,1.0,2021-05-25,,0.01,USD,0.01,d6ePmbPxgWCWmMVv66q9iPV94n91vMtov5Are,,1.0,1.0,ndDAn3xM71hJGz3yXNlDTnNMj87yEEt63Gr1l,ins_130347
qkDAya4bZpHpWxQwALraSkZbm1EGgzt6JNoNd,1.5,2.11,2021-05-25,,2.11,USD,1.0,KDwjlXj1Rqt58dVvmzRguxJybmyQL8FgeWWAy,,,,ndDAn3xM71hJGz3yXNlDTnNMj87yEEt63Gr1l,ins_130347
qkDAya4bZpHpWxQwALraSkZbm1EGgzt6JNoNd,10.0,10.42,2021-05-25,,20.84,USD,2.0,NDVQrXQoqzt5v3bAe8qRt4A7mK7wvZCLEBBJk,,,,ndDAn3xM71hJGz3yXNlDTnNMj87yEEt63Gr1l,ins_130347
l3DAnzB9P5SrGKzEgLPAHojqvV4Dy5IaLEJEL,0.01,0.011,2021-05-25,,110.0,USD,10000.0,8E4L9XLl6MudjEpwPAAgivmdZRdBPJuvMPlPb,,,,ndDAn3xM71hJGz3yXNlDTnNMj87yEEt63Gr1l,ins_130347
qkDAya4bZpHpWxQwALraSkZbm1EGgzt6JNoNd,120.03,39358.09375,2021-05-25,,115.57268,USD,0.00293644,9EWp9Xpqk1ua6DyXQb89ikMARWA6eyUzAbPMg,,,,ndDAn3xM71hJGz3yXNlDTnNMj87yEEt63Gr1l,ins_130347
l3DAnzB9P5SrGKzEgLPAHojqvV4Dy5IaLEJEL,40.0,42.15,2021-05-25,,210.75,USD,5.0,abJamDazkgfvBkVGgnnLUWXoxnomp5up8llg4,,7.0,66.0,ndDAn3xM71hJGz3yXNlDTnNMj87yEEt63Gr1l,ins_130347
qkDAya4bZpHpWxQwALraSkZbm1EGgzt6JNoNd,16.0,20.0,2021-05-25,,430.0,USD,21.5,lngLy3Le7vflLnAzKqwZs19l6bl8P5H1jG9Zz,,,,ndDAn3xM71hJGz3yXNlDTnNMj87yEEt63Gr1l,ins_130347
qkDAya4bZpHpWxQwALraSkZbm1EGgzt6JNoNd,23.0,27.0,2021-05-25,,636.309,USD,23.567,JDdP7XPMklt5vwPmDN45t3KAoWAPmjtpaW7DP,,,,ndDAn3xM71hJGz3yXNlDTnNMj87yEEt63Gr1l,ins_130347
qkDAya4bZpHpWxQwALraSkZbm1EGgzt6JNoNd,948.08,94.808,2021-05-25,,948.08,USD,10.0,QDQ13y1Ezxt51QbDb6A8cjk9EK978our9NaAM,,,,ndDAn3xM71hJGz3yXNlDTnNMj87yEEt63Gr1l,ins_130347
qkDAya4bZpHpWxQwALraSkZbm1EGgzt6JNoNd,15.0,13.73,2021-05-25,,1373.6865,USD,100.05,nnmo8doZ4lfKNEDe3mPJipLGkaGw3jfPrpxoN,,,,ndDAn3xM71hJGz3yXNlDTnNMj87yEEt63Gr1l,ins_130347
qkDAya4bZpHpWxQwALraSkZbm1EGgzt6JNoNd,22.0,24.5,2021-05-25,,1855.875,USD,75.75,MD9eKXeplrt5yKRlzLqXiavwb6wrdxUb3wdnM,,,,ndDAn3xM71hJGz3yXNlDTnNMj87yEEt63Gr1l,ins_130347
qkDAya4bZpHpWxQwALraSkZbm1EGgzt6JNoNd,30.0,34.73,2021-05-25,,7397.49,USD,213.0,eW4jmnjd6AtjxXVrjmj6SX1dNEdZp3Cy8RnRQ,,,,ndDAn3xM71hJGz3yXNlDTnNMj87yEEt63Gr1l,ins_130347
qkDAya4bZpHpWxQwALraSkZbm1EGgzt6JNoNd,1.0,1.0,2021-05-25,,12345.67,USD,12345.67,d6ePmbPxgWCWmMVv66q9iPV94n91vMtov5Are,,,,ndDAn3xM71hJGz3yXNlDTnNMj87yEEt63Gr1l,ins_130347
JlaRW87BlEiDwAg6ZzK6tyN5lA8d3ksoMX5E7,1.0,1.0,2021-05-25,,0.01,USD,0.01,d6ePmbPxgWCWmMVv66q9iPV94n91vMtov5Are,,1.0,1.0,eAaQDomeAvTGXD73W4Z3SwnrbRLBybfLGxQG6,ins_130347
k9bjoG8z9yI64olmK8PmUZz9DQdB47CzD789Z,1.5,2.11,2021-05-25,,2.11,USD,1.0,KDwjlXj1Rqt58dVvmzRguxJybmyQL8FgeWWAy,,,,eAaQDomeAvTGXD73W4Z3SwnrbRLBybfLGxQG6,ins_130347
k9bjoG8z9yI64olmK8PmUZz9DQdB47CzD789Z,10.0,10.42,2021-05-25,,20.84,USD,2.0,NDVQrXQoqzt5v3bAe8qRt4A7mK7wvZCLEBBJk,,,,eAaQDomeAvTGXD73W4Z3SwnrbRLBybfLGxQG6,ins_130347
JlaRW87BlEiDwAg6ZzK6tyN5lA8d3ksoMX5E7,0.01,0.011,2021-05-25,,110.0,USD,10000.0,8E4L9XLl6MudjEpwPAAgivmdZRdBPJuvMPlPb,,,,eAaQDomeAvTGXD73W4Z3SwnrbRLBybfLGxQG6,ins_130347
k9bjoG8z9yI64olmK8PmUZz9DQdB47CzD789Z,120.03,39358.09375,2021-05-25,,115.57268,USD,0.00293644,9EWp9Xpqk1ua6DyXQb89ikMARWA6eyUzAbPMg,,,,eAaQDomeAvTGXD73W4Z3SwnrbRLBybfLGxQG6,ins_130347
JlaRW87BlEiDwAg6ZzK6tyN5lA8d3ksoMX5E7,40.0,42.15,2021-05-25,,210.75,USD,5.0,abJamDazkgfvBkVGgnnLUWXoxnomp5up8llg4,,7.0,66.0,eAaQDomeAvTGXD73W4Z3SwnrbRLBybfLGxQG6,ins_130347
k9bjoG8z9yI64olmK8PmUZz9DQdB47CzD789Z,16.0,20.0,2021-05-25,,430.0,USD,21.5,lngLy3Le7vflLnAzKqwZs19l6bl8P5H1jG9Zz,,,,eAaQDomeAvTGXD73W4Z3SwnrbRLBybfLGxQG6,ins_130347
k9bjoG8z9yI64olmK8PmUZz9DQdB47CzD789Z,23.0,27.0,2021-05-25,,636.309,USD,23.567,JDdP7XPMklt5vwPmDN45t3KAoWAPmjtpaW7DP,,,,eAaQDomeAvTGXD73W4Z3SwnrbRLBybfLGxQG6,ins_130347
k9bjoG8z9yI64olmK8PmUZz9DQdB47CzD789Z,948.08,94.808,2021-05-25,,948.08,USD,10.0,QDQ13y1Ezxt51QbDb6A8cjk9EK978our9NaAM,,,,eAaQDomeAvTGXD73W4Z3SwnrbRLBybfLGxQG6,ins_130347
k9bjoG8z9yI64olmK8PmUZz9DQdB47CzD789Z,15.0,13.73,2021-05-25,,1373.6865,USD,100.05,nnmo8doZ4lfKNEDe3mPJipLGkaGw3jfPrpxoN,,,,eAaQDomeAvTGXD73W4Z3SwnrbRLBybfLGxQG6,ins_130347
k9bjoG8z9yI64olmK8PmUZz9DQdB47CzD789Z,22.0,24.5,2021-05-25,,1855.875,USD,75.75,MD9eKXeplrt5yKRlzLqXiavwb6wrdxUb3wdnM,,,,eAaQDomeAvTGXD73W4Z3SwnrbRLBybfLGxQG6,ins_130347
k9bjoG8z9yI64olmK8PmUZz9DQdB47CzD789Z,30.0,34.73,2021-05-25,,7397.49,USD,213.0,eW4jmnjd6AtjxXVrjmj6SX1dNEdZp3Cy8RnRQ,,,,eAaQDomeAvTGXD73W4Z3SwnrbRLBybfLGxQG6,ins_130347
k9bjoG8z9yI64olmK8PmUZz9DQdB47CzD789Z,1.0,1.0,2021-05-25,,12345.67,USD,12345.67,d6ePmbPxgWCWmMVv66q9iPV94n91vMtov5Are,,,,eAaQDomeAvTGXD73W4Z3SwnrbRLBybfLGxQG6,ins_130347
4WdgrlllqqTkLRrvjPw8sPr4J9XjJntJ1EwR4,1.0,1.0,2021-05-25,,0.01,USD,0.01,d6ePmbPxgWCWmMVv66q9iPV94n91vMtov5Are,,1.0,1.0,MQVB7kkkWWsoaA78nLepHWZzWj91ZAT9473ak,ins_130347
1gBDlnnnXXcmaRrxwDbQso7wpREvdpFpJvGPv,1.5,2.11,2021-05-25,,2.11,USD,1.0,KDwjlXj1Rqt58dVvmzRguxJybmyQL8FgeWWAy,,,,MQVB7kkkWWsoaA78nLepHWZzWj91ZAT9473ak,ins_130347
1gBDlnnnXXcmaRrxwDbQso7wpREvdpFpJvGPv,10.0,10.42,2021-05-25,,20.84,USD,2.0,NDVQrXQoqzt5v3bAe8qRt4A7mK7wvZCLEBBJk,,,,MQVB7kkkWWsoaA78nLepHWZzWj91ZAT9473ak,ins_130347
